Page,Edits,Editors,Views,Mobile %
"Deaths in 2021",32137,1025,44937556,47.2
"Elon Musk",1730,317,25353057,75.65
"Elizabeth II",874,248,24763417,78.72
"Squid Game",1938,465,22938916,73.99
"YouTube",449,184,22084275,24.18
"Spider-Man: No Way Home",3954,566,19928059,72.64
"Cristiano Ronaldo",1406,307,19486268,79.08
"Prince Philip, Duke of Edinburgh",1090,349,18432710,77.03
"UEFA Euro 2020",1265,377,17655900,62.52
"Joe Biden",1957,421,17371970,66.88
"United States",1417,396,16838160,52.51
"Donald Trump",3775,537,16742725,65.12
"WandaVision",2135,390,16563552,68.74
"Wikipedia",577,226,15115748,65.6
"2020 Summer Olympics",2166,493,14756966,56.71
"Skathi (moon)",49,18,14542602,57.98
"Google logo",103,74,14364523,79.89
"Dune (2021 film)",2053,618,13666382,67.02
"Shang-Chi and the Legend of the Ten Rings",2058,490,13475899,68.7
"Lionel Messi",1257,298,13272917,76.54
"Eternals (film)",1896,391,13213690,69.68
"List of Marvel Cinematic Universe films",560,111,13082868,66.14
"No Time to Die",2326,763,12888806,70.53
"Google",264,143,12689093,32.08
"India",696,125,12561579,61.04
"Tom Brady",1111,296,12538472,78.04
"Godzilla vs. Kong",1894,427,12063989,73.73
"Charles, Prince of Wales",0,0,11754551,79.79
"Taliban",769,310,11422321,74.26
"Critical race theory",1777,300,11203521,73.07
"Zack Snyder's Justice League",2335,654,11186167,70.3
"Black Widow (2021 film)",1876,274,11138294,69.72
"Kamala Harris",636,251,11091273,72.1
"Afghanistan",1055,336,11088077,66.06
"COVID-19 pandemic",1448,431,10856142,45.87
"The Suicide Squad (film)",1706,429,10809922,68.61
"Bridgerton",695,300,10754301,76.88
"Marvel Cinematic Universe: Phase Four",1962,265,10606712,63.94
"QAnon",797,279,10575080,73.11
"Richard Ramirez",211,83,10536072,85.42
"XXX (2002 film)",91,73,10534979,97.15
"BF",255,151,10468586,99.74
"Diana, Princess of Wales",286,108,10458906,80.17
"Dwayne Johnson",291,150,10091070,77.78
"List of James Bond films",418,184,10015298,68.97
"United Kingdom",643,223,9907938,53.98
"Zendaya",388,143,9865341,76.05
"Loki (TV series)",2014,443,9841518,63.88
"DMX (rapper)",3,1,9662331,83.08
"Jeff Bezos",541,222,9642081,69.82
"Olivia Rodrigo",1284,284,9599161,72.71
"Keanu Reeves",114,69,9448571,79.28
"Scarlett Johansson",338,94,9361001,77.75
"Betty White",435,175,9318104,84.04
"Freddie Mercury",226,90,9240593,79.05
"Princess Margaret, Countess of Snowdon",236,118,9175312,83.81
"Sex",1474,45,9159085,92.54
"BBC World Service",61,39,9139511,90.7
"George VI",371,185,9138142,79.97
"Charles Sobhraj",350,199,9066131,83.4
"XXX (film series)",146,102,9050176,97.2
"Ted Lasso",842,292,9014605,69.72
"The Falcon and the Winter Soldier",1606,378,8893545,66.22
"Facebook",292,174,8863633,34.53
"September 11 attacks",452,196,8860322,69.44
"Britney Spears",597,158,8803948,75.86
"F9 (film)",1109,411,8772054,74.5
"Ariana Grande",557,128,8730413,75.67
"Billie Eilish",455,204,8723549,71.84
"Michael Jackson",433,103,8659257,72.56
"Amazon (company)",304,168,8604579,26.37
"Adolf Hitler",334,108,8525381,63.86
"2021 Formula One World Championship",1860,315,8492509,50.69
"World War II",375,138,8466190,60.68
"Queen Victoria",276,86,8440407,73.8
"Marvel Cinematic Universe",640,125,8432831,61.21
"BTS",838,137,8416247,71.47
"Index.html",3,2,8369639,0.01
"Tasuku Honjo",38,30,8351879,99.55
"List of Tor onion services",55,33,8254957,96.82
"Instagram",253,115,8246818,37.35
"Mortal Kombat (2021 film)",1182,388,8213327,71.17
"Ryan Reynolds",189,90,8101562,77.31
"Netflix",907,440,8097459,30.89
"Mare of Easttown",618,239,8086090,76.33
"Taylor Swift",1497,233,8081583,68.14
"Venom: Let There Be Carnage",1179,231,8059624,70.42
"Dua Lipa",687,197,8030059,74.43
"Kim Kardashian",244,113,7990329,82.25
"WhatsApp",510,281,7959750,35.77
"Manchester United F.C.",524,178,7949836,64.02
"Clint Eastwood",136,58,7934274,76.29
"Emma Raducanu",1622,506,7815440,74.32
"The Pirate Bay",86,57,7814336,13.74
"Anya Taylor-Joy",611,263,7813895,73.5
"Google Translate",338,127,7806558,13.82
"2020 United States presidential election",1009,356,7801410,48.79
"Jennifer Aniston",106,63,7797323,79.35
"Elizabeth Olsen",558,235,7767495,77.1
"LeBron James",483,181,7763367,74.31
"Kanye West",?,?,7753122,70.97
"Barack Obama",?,?,7739962,63.16
"Money Heist",?,?,7727387,72.99
"Tom Holland",?,?,7710523,76.36
"XXX",?,?,7695760,97.1
"XXX: Return of Xander Cage",?,?,7674433,96.39
"Timothée Chalamet",?,?,7646172,75.57
"Leonardo DiCaprio",?,?,7630275,77.89
"XXXTentacion",?,?,7566337,84.57
"Muhammad Ali",?,?,7548316,76.36
"Michael Jordan",?,?,7508084,74.07
"Adele",?,?,7490440,74.07
"Meghan, Duchess of Sussex",?,?,7484623,78.04
"Angelina Jolie",?,?,7453562,80.91
"Cat",?,?,7453432,24.22
"What If...? (TV series)",?,?,7417052,60.54
"Lewis Hamilton",?,?,7253432,72.87
"Google Classroom",?,?,7250584,27.74
"The Weeknd",?,?,7240926,74.89
"Edward VIII",?,?,7233467,78.7
"Israel",?,?,7180624,66.19
"Mark Zuckerberg",?,?,7172073,43.91
"China",?,?,7168973,55.15
"Kenosha unrest shooting",?,?,7131306,72.44
"Internet",?,?,7098167,17.47
"Novak Djokovic",?,?,7027215,72.82
"Conor McGregor",?,?,6970850,74.57
"Peaky Blinders (TV series)",?,?,6946976,72.65
"Bitcoin",?,?,6944970,51.22
"New York City",?,?,6928480,47.52
"Aaron Rodgers",?,?,6862996,78.37
"Lil Nas X",?,?,6821405,75.3
"Pete Davidson",?,?,6804757,82.15
"Lady Gaga",?,?,6794273,73.21
"Army of the Dead",?,?,6781404,74.78
"Tom Cruise",?,?,6756006,75.93
"Japan",?,?,6747215,46.35
"Dune (novel)",?,?,6724331,66.99
"Daniel Craig",?,?,6713997,74.89
"Elliot Page",?,?,6711053,76.68
"Winston Churchill",?,?,6700082,73.64
"List of presidents of the United States",?,?,6671539,67.71
"Canada",?,?,6666509,53.74
"World War I",?,?,6625504,64.64
"Australia",?,?,6616732,52.76
"Simone Biles",?,?,6595850,78.62
"Arnold Schwarzenegger",?,?,6593805,71.15
"Mahatma Gandhi",?,?,6587408,73.13
"Premier League",?,?,6533315,53.3
"Android (operating system)",?,?,6504233,19.14
"Johnny Depp",?,?,6489993,76.54
"Jennifer Lopez",?,?,6484099,80.31
"Non-fungible token",?,?,6473844,56.99
"Ben Affleck",?,?,6412497,79.3
"Megan Fox",?,?,6406952,80.69
"Bill Gates",?,?,6404733,67.16
"Succession (TV series)",?,?,6393890,65.59
"Nomadland (film)",?,?,6391779,68.07
"Naomi Osaka",?,?,6385629,75.05
"Tenet (film)",?,?,6378379,72.63
"Tyson Fury",?,?,6358459,74.3
"Microsoft Windows",?,?,6350548,14.63
"A Quiet Place Part II",?,?,6345945,76.26
"Caitlyn Jenner",?,?,6334773,81.16
"2022 FIFA World Cup qualification",?,?,6329596,55.94
"The Matrix Resurrections",?,?,6324420,64.06
"Dogecoin",?,?,6316275,71.57
"Pablo Escobar",?,?,6308223,79.72
"Olivia Wilde",?,?,6306431,79.98
"Periodic table",?,?,6295082,51.06
"John F. Kennedy",?,?,6289746,68.34
"Elvis Presley",?,?,6289734,73.17
"Bruce Lee",?,?,6238349,78.3
"Taiwan",?,?,6228225,57.09
"Don't Look Up (2021 film)",?,?,6193779,75.58
"List of American films of 2021",?,?,6191421,47.61
"Invincible (TV series)",?,?,6189040,61.47
"List of states and territories of the United States",?,?,6179753,57.56
"Russia",?,?,6167106,57.8
"Shailene Woodley",?,?,6143262,80.46
"Boris Johnson",?,?,6142241,70.56
"Grey's Anatomy",?,?,6139047,71.96
"Free Guy",?,?,6132615,69.78
"UEFA Champions League",?,?,6129317,61.07
"Michael Schumacher",?,?,6126366,76.94
"Steve Jobs",?,?,6121559,66.82
"Promising Young Woman",?,?,6117027,73.66
"Kobe Bryant",?,?,6111656,73.72
"Justin Bieber",?,?,6077858,75.85
"Canelo Álvarez",?,?,6071803,76.94
"Machine Gun Kelly (musician)",?,?,6065779,80.41
"Helen McCrory",?,?,6063832,80.27
"The Witcher (TV series)",?,?,6053875,68.07
"Anne, Princess Royal",?,?,6036847,80.82
"CEO",?,?,6017392,3.17
"Grimes (musician)",?,?,6014681,76.16
"The Handmaid's Tale (TV series)",?,?,5995544,70.13
"Robin Williams",?,?,5986133,76.42
"Chernobyl disaster",?,?,5983517,69.44
"Albert Einstein",?,?,5983488,65.92
"Harry Potter (film series)",?,?,5976113,68.02
"Jake Paul",?,?,5970404,76.48
"The Queen's Gambit (miniseries)",?,?,5965235,68.86
"Abraham Lincoln",?,?,5955266,65.84
"George V",?,?,5934666,76.1
"Greek alphabet",?,?,5929700,45.21
"Hawkeye (2021 TV series)",?,?,5909464,65.65
"Jason Sudeikis",?,?,5907191,79.03
"Prince Harry, Duke of Sussex",?,?,5898472,78.01
"2022 FIFA World Cup",?,?,5894468,67.86
"COVID-19 pandemic by country and territory",?,?,5884259,37.6
"Chelsea F.C.",?,?,5881201,64.8
"The Beatles",?,?,5877941,63.29
"Armie Hammer",?,?,5874527,76.91
"Harry Styles",?,?,5863795,77.64
"Null",?,?,5861161,47.06
"Gal Gadot",?,?,5854418,79.02
"Ted Bundy",?,?,5834121,76.87
"Brad Pitt",?,?,5806159,77.51
"Eminem",?,?,5804397,70.58
"Attack on Titan",?,?,5782969,59.94
"Alec Baldwin",?,?,5751680,76.37
"Katrina Kaif",?,?,5750365,89.53
"Jason Momoa",?,?,5739056,81.49
"YouTube Music",?,?,5737846,3.82
"Margaret Thatcher",?,?,5729320,74.54
"Robert Downey Jr.",?,?,5725110,76.85
"Germany",?,?,5722198,50.81
"Elton John",?,?,5713057,75.7
"Heath Ledger",?,?,5664060,82.98
"Doja Cat",?,?,5651509,75.43
"Macaulay Culkin",?,?,5650648,81.83
"Priyanka Chopra",?,?,5637708,82.24
"Singapore",?,?,5629987,57.72
"Martin Luther King Jr.",?,?,5625749,59.35
"Regé-Jean Page",?,?,5608834,81.67
"Raya and the Last Dragon",?,?,5605667,72.72
"Manifest (TV series)",?,?,5591657,74.88
"Cruella (film)",?,?,5586174,72.62
"Pakistan",?,?,5580443,65.09
"Puneeth Rajkumar",?,?,5576007,88.88
"Marilyn Monroe",?,?,5565247,77.83
"Aretha Franklin",?,?,5558418,80.92
"Florence Pugh",?,?,5558244,76.65
"2021 in film",?,?,5558081,60.14
"Susan Wojcicki",?,?,5544198,5.7
"Mary, Queen of Scots",?,?,5540600,79.05
"Stephen Hawking",?,?,5538180,74.36
"List of Bollywood films of 2021",?,?,5535960,74
"Giannis Antetokounmpo",?,?,5535803,77.25
"Chadwick Boseman",?,?,5533677,76.65
"Selena Gomez",?,?,5532616,77.6
"Ed and Lorraine Warren",?,?,5526383,85.73
"Death of Elisa Lam",?,?,5522055,84.73
"Franklin D. Roosevelt",?,?,5495861,65.87
"Tupac Shakur",?,?,5492159,76.67
"Kylie Jenner",?,?,5486329,83.82
"David Bowie",?,?,5468538,67.6
"Jeffrey Epstein",?,?,5463781,74.25
"Malcolm X",?,?,5455100,73
"Emily Blunt",?,?,5443645,76.81
"The Conjuring: The Devil Made Me Do It",?,?,5441122,79.14
"UEFA European Championship",?,?,5435608,70.74
"Awkwafina",?,?,5432184,74.86
"Mike Tyson",?,?,5424247,74.72
"WrestleMania 37",?,?,5423022,76.86
"Lucifer (TV series)",?,?,5420802,68.14
"Norm Macdonald",?,?,5417976,68.88
"Ansel Adams",?,?,5412366,95.11
"Vicky Kaushal",?,?,5405107,90.42
"Ronald Reagan",?,?,5401579,65.3
"Eurovision Song Contest 2021",?,?,5399323,56.94
"FC Barcelona",?,?,5389420,66.27
"Emma Watson",?,?,5372507,74.73
"Sex Education (TV series)",?,?,5370910,72.07
"John Lennon",?,?,5370138,70.58
"Fast & Furious",?,?,5368720,66.17
"Andrew Garfield",?,?,5368584,77.65
"Rami Malek",?,?,5362469,79.6
"HTTP 404",?,?,5347681,24.67
"Serena Williams",?,?,5335968,76.91
"Avengers: Endgame",?,?,5333806,67.68
"Yellowstone (American TV series)",?,?,5320885,71.91
"Pirates of the Caribbean (film series)",?,?,5315400,69.52
"IOS",?,?,5303069,12.43
"Audrey Hepburn",?,?,5294359,76.4
"Cobra Kai",?,?,5294026,71.64
"Patrizia Reggiani",?,?,5288689,81.43
"FIFA World Cup",?,?,5277125,66.31
"YouTube Premium",?,?,5273653,4.25
"Wiki",?,?,5267627,34.52
"Old (film)",?,?,5258340,71.97
"The Walking Dead (TV series)",?,?,5238453,63.05
"Tom Hanks",?,?,5234951,72.83
"Stanley Tucci",?,?,5221716,80.52
"Schitt's Creek",?,?,5212024,74.55
"Jennifer Lawrence",?,?,5208465,75.46
"2021–22 UEFA Champions League",?,?,5207125,52.18
"Space Jam: A New Legacy",?,?,5205141,68.31
"Paul McCartney",?,?,5205106,69.57
"Soviet Union",?,?,5201452,61.56
"Mayim Bialik",?,?,5199590,79.15
"Cryptocurrency",?,?,5195951,65.1
"Mia Khalifa",?,?,5179685,86.74
"Travis Barker",?,?,5166498,83.86
"List of countries by GDP (nominal)",?,?,5144020,57.12
"Patrick Mahomes",?,?,5140635,80.94
"The Matrix",?,?,5130586,66.2
"Bo Burnham",?,?,5129319,73.11
"John Cena",?,?,5124538,76.92
"Rihanna",?,?,5121060,76.36
"COVID-19 vaccine",?,?,5115561,57.08
"State of Palestine",?,?,5113825,73.4
"Friends",?,?,5109032,69.03
"Dan Levy (Canadian actor)",?,?,5108644,83.6
"Prince Andrew, Duke of York",?,?,5104711,79.32
"Emma Stone",?,?,5102769,76.91
"American Horror Story",?,?,5101751,72.55
"Zlatan Ibrahimović",?,?,5093961,77.75
"Tom Hardy",?,?,5085406,77.91
"Vladimir Putin",?,?,5085272,66.98
"Floyd Mayweather Jr.",?,?,5084388,75.05
"Prince William, Duke of Cambridge",?,?,5083529,77.34
"Chris Evans (actor)",?,?,5081092,79.59
"Jimmy Carter",?,?,5077810,65.78
"Uttar Pradesh",?,?,5075873,87.38
"ICC Men's T20 World Cup",?,?,5072590,79.97
"Zodiac Killer",?,?,5061130,74.92
"Game of Thrones",?,?,5041345,67.22
"Jen Psaki",?,?,5039988,68.33
"Henry Cavill",?,?,5037869,77.8
"2021 ICC Men's T20 World Cup",?,?,5027894,77.59
"Kate Winslet",?,?,5011575,78.08
"List of highest-grossing films",?,?,4995454,68.27
"Jake Gyllenhaal",?,?,4991424,77.06
"COVID-19",?,?,4986273,64.48
"Vietnam War",?,?,4981080,62.42
"Derek Chauvin",?,?,4967794,68.7
"Catherine the Great",?,?,4960823,77.11
"Judy Garland",?,?,4954474,80.31
"Stephen Curry",?,?,4953517,75.53
"Khabib Nurmagomedov",?,?,4950171,73.85
"Sylvester Stallone",?,?,4947111,77.99
"California",?,?,4946950,50.51
"JavaScript",?,?,4944857,8.08
"Philippines",?,?,4944011,55.72
"Paul Walker",?,?,4939522,81.98
"The Mandalorian",?,?,4934777,62.41
"Aaliyah",?,?,4933090,80.32
"Juneteenth",?,?,4927334,73.03
"Demi Lovato",?,?,4909443,74.89
"William Shakespeare",?,?,4906392,64.39
"South Africa",?,?,4899517,59.64
"Maharashtra",?,?,4896887,82.5
"Lily James",?,?,4894352,78.47
"MacOS",?,?,4891844,10.47
"Marjorie Taylor Greene",?,?,4890614,64.1
"President of the United States",?,?,4884926,61.46
"Shaquille O'Neal",?,?,4882772,77.02
"Matthew Perry",?,?,4880925,82.06
"The Wheel of Time",?,?,4868451,68.12
"Nicolas Cage",?,?,4867128,75.26
"Wonder Woman 1984",?,?,4856149,74
"93rd Academy Awards",?,?,4853394,55.76
"Nancy Pelosi",?,?,4851287,73.13
"Matthew McConaughey",?,?,4849612,76.2
"Turkey",?,?,4839773,61.93
"Blake Lively",?,?,4838039,80.16
"Myanmar",?,?,4834651,61.95
"Tiger Woods",?,?,4829029,76.43
"Twitter",?,?,4828545,39.6
"Seven deadly sins",?,?,4827483,66.58
"U.S. state",?,?,4827124,58.04
"Kristen Stewart",?,?,4824995,79.84
"Logan Paul",?,?,4817446,75.5
"You (TV series)",?,?,4816315,66.4
"Microsoft Teams",?,?,4813463,15.02
"Tobey Maguire",?,?,4812058,77.4
"House of Gucci",?,?,4808646,73.38
"Demon Slayer: Kimetsu no Yaiba",?,?,4807516,60.13
"Salma Hayek",?,?,4787816,78.7
"Maurizio Gucci",?,?,4781321,80.78
"JoJo Siwa",?,?,4774505,82.6
"France",?,?,4770628,49.65
"Turkish Radio and Television Corporation",?,?,4765955,72.53
"Minecraft",?,?,4759267,47.02
"John Krasinski",?,?,4759058,76.88
"Paris Saint-Germain F.C.",?,?,4753465,66.04
"Pornhub",?,?,4750380,72.55
"Spanish flu",?,?,4746390,69.59
"The Last Duel (2021 film)",?,?,4741371,66.71
"Joseph Stalin",?,?,4733052,64.28
"Shadow and Bone (TV series)",?,?,4715539,69.11
"Erling Haaland",?,?,4709761,75.72
"Rosamund Pike",?,?,4708929,75.65
"Cecil Hotel (Los Angeles)",?,?,4697555,84.78
"London",?,?,4694014,46.19
"List of United States cities by population",?,?,4692475,58.07
"Harry Kane",?,?,4688438,76.85
"Sandra Bullock",?,?,4680560,77.6
"Attack on Titan (season 4)",?,?,4664767,57.75
"Tina Turner",?,?,4664024,79.79
"Mark Wahlberg",?,?,4663315,78.94
"Amber Heard",?,?,4658452,77.61
"IP address blocking",?,?,4657798,0.29
"George W. Bush",?,?,4655573,67.28
"Ernest Hemingway",?,?,4654316,69.11
"Chris Pratt",?,?,4650390,75.6
"Will Smith",?,?,4642144,75.01
"List of most-viewed YouTube videos",?,?,4641565,60.28
"Snoop Dogg",?,?,4626793,77.85
"Prince Edward, Earl of Wessex",?,?,4623389,80.37
"List of UFC events",?,?,4620816,57.87
"The Good Doctor (TV series)",?,?,4619855,68.77
"Osama bin Laden",?,?,4618700,74.37
"Margot Robbie",?,?,4615909,75.65
"Suez Canal",?,?,4613213,66.22
"Prince (musician)",?,?,4611161,71.44
"Simu Liu",?,?,4608786,71.44
"Roger Federer",?,?,4600447,71.95
"Virat Kohli",?,?,4599579,86.51
"Ana de Armas",?,?,4589009,75.72
"Vin Diesel",?,?,4587201,79.98
"Ottoman Empire",?,?,4578571,65.09
"Travis Scott",?,?,4569174,74.7
"Mila Kunis",?,?,4567857,79.37
"Justice League (film)",?,?,4567353,59.02
"Rachel Weisz",?,?,4565899,77.67
"American Civil War",?,?,4541782,61.86
"Jason Statham",?,?,4541224,77.97
"Nicole Kidman",?,?,4537648,78.15
"Roblox",?,?,4533402,24.27
"English language",?,?,4531837,58.25
"The Crown (TV series)",?,?,4530290,69.23
"Narendra Modi",?,?,4525873,77.02
"Doctor Strange in the Multiverse of Madness",?,?,4523692,64.69
"Carey Mulligan",?,?,4520695,76.07
"Chris Hemsworth",?,?,4518141,79.93
"Millennials",?,?,4517286,67.51
"Manchester City F.C.",?,?,4517171,66.34
"O. J. Simpson",?,?,4516173,77.2
"George Harrison",?,?,4512410,70.16
"Ted Kaczynski",?,?,4511139,71.63
"2021 West Bengal Legislative Assembly election",?,?,4510835,83.02
"Dakota Johnson",?,?,4509042,81.07
"Donda (album)",?,?,4508566,70.1
"George Washington",?,?,4501123,62.84
"Quentin Tarantino",?,?,4498512,67.23
"Coming 2 America",?,?,4496952,75.72
"Alexander the Great",?,?,4488392,66.31
"2021 storming of the United States Capitol",?,?,4487348,49.67
"England national football team",?,?,4487225,65.39
"Sidharth Shukla",?,?,4481275,89.96
"Harry Potter",?,?,4481021,63.15
"Napoleon",?,?,4478836,60.44
"Zodiac",?,?,4474434,77.73
"Jujutsu Kaisen",?,?,4471475,63.28
"Selena",?,?,4469128,80.07
"List of most-subscribed YouTube channels",?,?,4469017,62.9
"Larry King",?,?,4467866,76.2
"The Tomorrow War",?,?,4464534,71.96
"Romelu Lukaku",?,?,4461228,78.14
"HTTP cookie",?,?,4457283,47.42
"Ed Sheeran",?,?,4456277,70.76
"Hailee Steinfeld",?,?,4456099,73.24
"Netherlands",?,?,4449292,53.49
"Andhra Pradesh",?,?,4425859,87.31
"Julia Roberts",?,?,4419720,80.19
"Val Kilmer",?,?,4419074,79.29
"List of most-followed Instagram accounts",?,?,4415013,85.5
"Halston",?,?,4408905,80.51
"Marilyn Manson",?,?,4408568,75.09
"Nelson Mandela",?,?,4406285,69.51
"Dilip Kumar",?,?,4400552,87.6
"Charles Manson",?,?,4399575,76.9
"Jesus",?,?,4397787,69.06
"Frank Sinatra",?,?,4395168,71.2
"New Zealand",?,?,4395063,57.58
"Brittany Murphy",?,?,4394647,82.6
"Bill Clinton",?,?,4383710,67.37
"Windows 10 version history",?,?,4377936,5.22
"Nicki Minaj",?,?,4373176,77.28
"Drake (musician)",?,?,4371492,72.46
"Pop Smoke",?,?,4370065,80.56
"Ivermectin",?,?,4353384,76.02
"Omegle",?,?,4351400,62.22
"Vikram Batra",?,?,4339868,87.54
"Gigi Hadid",?,?,4322084,83.5
"Neymar",?,?,4321722,78.85
"Juice Wrld",?,?,4321507,75.18
"States and union territories of India",?,?,4317854,82.53
"Tamil Nadu",?,?,4316660,83.99
"Video hosting service",?,?,4259216,1.39
